GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Frontend Web Application,br.com.naildesigner.frontend_web.controllers,FrontendController,26,3,0,0,13,1,13,1,13,1
Frontend Web Application,br.com.naildesigner.frontend_web,FrontendWebApplication,5,3,0,0,2,1,1,1,1,1
