GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Servico Service,br.com.naildesigner.servico_service.services,ServicoService,143,3,0,0,29,1,8,1,8,1
Servico Service,br.com.naildesigner.servico_service.services,JwtService,72,3,2,0,18,1,9,1,8,1
Servico Service,br.com.naildesigner.servico_service.models,Servico,22,23,0,0,8,11,7,6,7,6
Servico Service,br.com.naildesigner.servico_service.dtos,ServicoDTO,45,0,0,0,19,0,13,0,13,0
Servico Service,br.com.naildesigner.servico_service,ServicoServiceApplication,5,3,0,0,2,1,1,1,1,1
Servico Service,br.com.naildesigner.servico_service.controllers,ServicoController,29,3,0,0,8,1,6,1,6,1
Servico Service,br.com.naildesigner.servico_service.config,SecurityConfig,0,113,0,0,0,17,0,6,0,6
Servico Service,br.com.naildesigner.servico_service.config,JwtAuthFilter,76,3,12,0,20,1,7,1,1,1
Servico Service,br.com.naildesigner.servico_service.config,ServicoDataInitializer,3,405,1,1,1,93,1,3,0,3
